State name,North Midland,South Midland,Inland North,Mid-Atlantic,Eastern New England,Pacific Northwest,Western American English,Southern American,New York,Colorado,California,ɑr_fronting,cot_caught_merger,rhoticity,ɑ_fronting,oʊ_fronting,glide_deletion,North-Central American English,majority_ow_fronting_F2_is_above_1400_Hz,majority_ow_fronting_F2_is_less_than_1400_Hz_above_1300_Hz,majority_ow_fronting_F2_is_less_than_1300_Hz_above_1200_Hz,majority_ow_fronting_F2_is_less_than_1200_Hz_above_1100_Hz,majority_ow_fronting_F2_is_less_than_1100_Hz,pin_pen_merger,General_American,Mid_Southern_2,Mid_Southern_1,New_English_1,New_English_2,Voicing_Effect,Oregon,Oklahoma,New_Hampshire,Washington,Illinois,Michigan,New_Jersey,Washington_D_C,Lowland_Southern,Eastern_Canadian,majority_aw_fronting_F2_is_above_1750_Hz_red,majority_aw_fronting_F2_is_less_than_1750_Hz_above_1650_Hz_yellow,majority_aw_fronting_F2_is_less_than_1650_Hz_above_1450_Hz_green,majority_aw_fronting_F2_is_less_than_1450_Hz_above_1200_Hz_blue,majority_aw_fronting_F2_is_NaN
Nebraska,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Iowa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kansas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,1,0,0,0,0,1.20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Oklahoma,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,100,0,1,0,0,0,1.19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,1.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Washington,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,10,0,0,0,0,0,1.15,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
Oregon,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,1.15,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Virginia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1.17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
North Carolina,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alabama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Mississippi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1.17,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Kentucky,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,1.19,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
West Virginia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
New Mexico,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,1,1,1,1,1,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
California,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,,0,0,0,1,0,0,10,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,1.18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Colorado,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,,0,0,1,1,0,0,10,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,1,1,0,1,0,0,0,0,1.20,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Washington D.C.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,0,0,1.49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Idaho,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Nevada,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Utah,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wyoming,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1.20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,1.20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,
